Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,279.98318434450476,12.940745170110034,-14.365031179180676,402,9.33025308341974,1.0331531184635805,1.3387410771750603,0.9008504756234106,57.14804063860668,0.9608344758520867,5.847747212876886,3.5351866620496386,18.496735356918403,-0.6124541351827939,23.215130126029003,9.299565332982773,18.72077452649281,-8.060439378757478,27.171580921883365,23.1325171752953,27.903370011106475
SPY (Benchmark),298.9634480460131,13.443695580859515,-33.71726416016428,708,17.811752973858592,0.6310938373613806,0.7681530172331053,0.39871845820583374,54.94545454545454,0.9571358731905537,1.2885162630532854,11.997877746281716,21.705433691403563,-4.569003428785267,31.22386068836942,18.33163176564574,28.728752195093897,-18.175366403779957,26.175813624750234,24.886438236493504,17.48948279933127
IWY (Benchmark),512.6403482474457,17.967058343264753,-32.68441463599419,715,20.544670349024162,0.7635358507479794,0.9588818650611022,0.5497133279994028,56.76760306457497,0.9021825597948615,8.04360623731153,6.833713233245842,31.690065077191164,-0.7206902186186248,36.19872939058257,39.0086453522698,31.053740173231724,-29.91464596306006,46.492739348821964,34.89138094208255,18.139350789816234
60/40 (Balanced),176.33441249425488,9.708606935627873,-26.37883805738759,800,12.273041733972713,0.5740767215615937,0.7209832668774907,0.36804528366665135,55.152394775036285,0.9472213157733499,-0.37470115358236855,7.7758335865594,17.12098067005112,-3.5598183347354317,25.268325376127688,18.274734626103005,18.168887479486372,-21.515902922740583,20.92954766862838,18.61262316075902,15.603189944968165
Neutral (Fixed),263.4158064251696,12.48270768375248,-22.734332099652434,556,11.691574604625645,0.8110261701730742,0.9876702435465412,0.549068590580821,56.89404934687954,0.9254024673963668,2.3889472632055764,5.274445602104971,19.136838277249257,-0.9537827794674048,22.72224326899961,20.716273347144675,20.922806355851687,-16.475552971102015,28.293555517121405,23.90481131390374,20.12678780395911
