Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,136.85878129319283,15.547033182332704,-14.365049522995598,402,10.724681562812641,1.123993366720195,1.4973475426279792,1.0822819063341886,57.199999999999996,0.9674783542928802,8.346650777057828,18.720832700129076,-8.060496014416795,27.171615846539197,23.13250262825377,27.903377554008912
SPY (Benchmark),128.6168060242325,14.863254790508096,-33.71726255744887,708,20.78392956376855,0.6279368890927013,0.7718678625234526,0.44082032950283156,55.27369826435247,0.9389127644061489,17.235209177814625,28.728792195585683,-18.175377519892766,26.175805323282788,24.88645961170235,17.489470420135888
IWY (Benchmark),194.0177295435886,19.809801414142967,-32.68442953151581,715,24.323936048316348,0.7430496466002052,0.9697861152906831,0.6060929224737258,56.51302605210421,0.8999599256150314,37.12034456861342,31.053779301688156,-29.91465409529932,46.49276852790871,34.891345394774696,18.139350789816234
60/40 (Balanced),67.50522102880325,9.029438974496507,-27.01072445483963,897,13.829676682382686,0.47851882877281854,0.6322223088177656,0.3342908847037112,54.13333333333333,0.9594885580263105,17.074279368169854,15.425108126137843,-22.483926075731762,19.324769734136748,16.583391328813548,14.949611366868275
Neutral (Fixed),130.7903297217186,15.045543753087177,-22.734337557225505,556,14.001647228747412,0.8589947360550413,1.0714062768416213,0.6617982034979221,56.53333333333334,0.9358378900895766,19.663822987220357,20.922826937825832,-16.475559011174656,28.2935729257739,23.904793107249624,20.126786046636404
