Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,636.9829156903205,19.954683584540245,-17.664684291020492,437,9.285568012275059,1.689379424407444,2.27817078771194,1.1296371480968856,58.09143686502177,1.0391404635678971,13.43121687642077,13.57910545165919,26.05847433063051,15.223081958448992,28.853724049196373,15.925448593997004,22.029574677878138,-9.43764880846073,36.33641795590468,31.395413615623102,33.17853061459481
SPY (Benchmark),301.44886831202103,13.497170698588912,-33.71725111169711,708,17.809354396085883,0.6340851231074117,0.7716896899614454,0.40030459938374113,54.961832061068705,0.9570508596211619,1.2884802536011541,11.997906358187427,21.70541621009665,-4.569003724797138,31.223883174763188,18.33162986886807,28.728749683026834,-18.175358376547013,26.17578437439945,24.88645961170237,18.221415038138723
IWY (Benchmark),515.5174501114825,18.002816199108462,-32.68443997571001,715,20.54129141646696,0.7654205487123691,0.9610910004921107,0.5508069348132493,56.76760306457497,0.9025055366863073,8.043615358833467,6.833736675014812,31.690050809568106,-0.7206901385640063,36.19871415173781,39.00864535226982,31.053716534500552,-29.914628812099508,46.492755659719265,34.891366028056666,18.69414296587535
60/40 (Balanced),177.74546733338502,9.75190466040794,-26.37882045444685,800,12.271643184303569,0.5776473612490006,0.7253850764507164,0.36968691140865617,55.16866158868336,0.9472209979794526,-0.37471328258706915,7.77584299336147,17.120984340140577,-3.559828139738319,25.268341105855608,18.274735054176915,18.16886895246499,-21.51589048279271,20.929516536151425,18.612642790024235,16.193505690612376
Neutral (Fixed),283.4883952349265,13.024953117026094,-22.803725546966447,560,12.505947987285557,0.8050476992081419,0.9864211110080509,0.5711765426311574,56.401886108088505,0.9405282796274116,3.3610648441389834,5.4371023007702135,19.609468180483546,-0.6888092669986912,24.0748771587157,23.07493188392393,21.824496606027168,-18.287173035838556,30.457039880552106,24.451663093854336,20.03046741336123
