Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,202.27319829768072,20.336397391869852,-17.66466391941661,437,10.551211120417367,1.5277672619972937,2.0844744331220415,1.1512473424142833,58.094603597601605,1.003669842821186,14.646406934400602,22.029547898603717,-9.437609609736642,36.336402162526916,31.39541065300635,33.17855175680007
SPY (Benchmark),130.04110712455153,14.960790838954496,-33.717250998329654,708,20.778276593740635,0.6326240531038758,0.7774169219449975,0.44371324458496486,55.3035356904603,0.9386245530581728,17.235263967196303,28.728732194853237,-18.17534726043085,26.175776072933377,24.886467828340606,18.221415038138723
IWY (Benchmark),195.39848038966227,19.873974018840745,-32.68441463599419,715,24.316347805604185,0.7459447573538123,0.9732610955924611,0.6080565994580867,56.54205607476636,0.8993848753680512,37.12037698212687,31.053736502877083,-29.914652283859045,46.49276508520255,34.891366028056694,18.694142965875326
60/40 (Balanced),68.29396788010607,9.102216089980342,-27.01072069276679,897,13.826205542260306,0.48388979572087304,0.6391573692107541,0.33698531014827116,54.16389073950699,0.9592295618321574,17.07430695479204,15.425076508372214,-22.483902763267572,19.324755890137133,16.583395522536783,15.490863841184343
Neutral (Fixed),136.58612548834864,15.501801864358411,-22.803727116705108,560,14.995181218711068,0.8388257950749102,1.0555616665343783,0.6797924648467839,56.49566955363091,0.9310936550243779,21.95643061978163,21.82450384506611,-18.28718494361604,30.45704654044512,24.451663953792103,20.030466318836027
