Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,158.92334954777812,17.28467633202808,-14.365011724205868,402,10.901767258298738,1.2447346063433784,1.6729829609261222,1.2032483275250245,57.53333333333334,0.9736170423332688,8.714851118883505,20.124100113636413,-7.923381882950409,32.014880762471144,26.830273915354773,28.60475193042373
SPY (Benchmark),128.61685289595079,14.86325873706884,-33.71725763593133,708,20.783937236312173,0.6279369026941517,0.7718678083322501,0.4408205108955709,55.27369826435247,0.9389127452036692,17.235253716043065,28.728760939181463,-18.17536516919187,26.175794848840226,24.886446453129807,17.489482799331245
IWY (Benchmark),194.01775336895957,19.809803041165154,-32.684433982841036,715,24.32394347561671,0.7430495487748758,0.9697864377333256,0.606092889709061,56.51302605210421,0.8999598215159212,37.12037188675268,31.05372835386615,-29.914630623542415,46.49275910242583,34.89135417895539,18.139343096532933
60/40 (Balanced),67.50524714705837,9.029441823510286,-27.010721360903045,897,13.829683351411216,0.47851885533962435,0.6322222418576743,0.33429102847212544,54.13333333333333,0.9594885545933333,17.07431357663878,15.425077970413636,-22.48391613668509,19.324777147258043,16.583373308130934,14.94962162233171
Neutral (Fixed),130.7903308352641,15.045543846111208,-22.73433308077477,556,14.001649387379747,0.8589946303376262,1.0714062933546917,0.6617983378995371,56.53333333333334,0.9358378149204827,19.663830064517906,20.922800196043625,-16.475546436715295,28.29357360800957,23.90479785469044,20.126782760933672
