Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,450.00520277879116,16.812946651016823,-16.234696491660948,422,8.997037792708118,1.4439050754890865,1.924645477432999,1.0356181687568287,57.40203193033382,1.0235541692032897,10.15575660654795,10.452059234627974,19.30001626918485,9.546121411247,23.086446796194494,14.450568552187848,22.397293333791836,-9.093549597432792,34.4390030064716,26.81215531995047,29.43967196908901
SPY (Benchmark),298.96337667356005,13.44369373083827,-33.71727068439594,708,17.81175822835075,0.6310936117434921,0.7681527129649174,0.3987183261858705,54.94545454545454,0.9571358112375665,1.288498143072836,11.997913070078624,21.705411075730584,-4.569002836761626,31.22385644886878,18.331619521847607,28.728752195093875,-18.175346025843965,26.175773899960355,24.886446453129786,17.48948279933127
IWY (Benchmark),512.6406585785196,17.96706379053741,-32.684431073060395,715,20.544675028467953,0.7635359438035524,0.9588818498502757,0.5497132182100751,56.75182481751825,0.9027628868924767,8.043703178708483,6.8336793076616775,31.690040817054953,-0.7206791906230303,36.19872939058257,39.008678212149796,31.053732832523284,-29.91465409529932,46.49274279152982,34.89137787716005,18.139343096532933
60/40 (Balanced),176.33437859711987,9.708605708845441,-26.378818976512786,800,12.273044490361777,0.5740765282553184,0.7209836061182934,0.36804550338246017,55.152394775036285,0.9472212213925493,-0.37469620032070106,7.775843851279429,17.120981538854462,-3.559822508594379,25.26830688838173,18.274738014683756,18.16886945697258,-21.5158816604205,20.929516149503247,18.612622548807177,15.603193941498251
Neutral (Fixed),263.4159147530523,12.482710740228132,-22.73434374056559,556,11.691575947070747,0.8110263218043919,0.9876704553249506,0.5490684438783622,56.89404934687954,0.9254025828910987,2.3889882090941894,5.274430952656206,19.136828758759616,-0.9537752091196006,22.722236530620023,20.716292985714336,20.922806702462672,-16.475560304704253,28.29356620401713,23.904807744614654,20.12678341461185
