Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2011 (%),2012 (%),2013 (%),2014 (%),2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,731.6127076979604,15.190806084182773,-16.23474253885162,422,8.508458611168754,1.3570833276894625,1.832336886235061,0.9356973815771586,56.964380648591174,1.0280077820013604,2.575341002987641,8.941389058560457,20.671985449637177,11.819472359864536,10.142299592477698,10.45210562193397,19.300034268351276,9.546065624910405,23.086427309282787,14.450648452391679,22.39726438952094,-9.093583678976458,34.438998045173584,26.812137001875968,29.812074227090136
SPY (Benchmark),604.6091427395313,13.923313099364387,-33.71725271441378,708,17.178014354298195,0.6726289503033858,0.8227146740344052,0.4129432850681904,55.41044776119403,0.9459713835228641,0.8523567329266291,15.990331768324516,32.30776663815868,13.463821358113215,1.2342938532139192,11.997884458176777,21.705404902262025,-4.569003428785279,31.22386068836942,18.33163176564576,28.728760939181463,-18.17536516919188,26.17579484884025,24.88645961170237,18.2214150381387
IWY (Benchmark),996.9030565923534,17.339983664466384,-32.68442508019063,715,19.18542329349067,0.7757665261745663,0.9730875019620023,0.5305274185463889,56.44599303135889,0.9178144540727697,3.6958827406189165,14.651656818869196,32.407278340468615,13.364566469397566,7.893682113671141,6.833712165283834,31.690060441506706,-0.7207012466117657,36.1986958245283,39.008696040777814,31.053736502877037,-29.914652283859024,46.49275221701223,34.89136909297783,18.694150695287437
60/40 (Balanced),379.61550752639334,11.03484884266146,-26.17509650483083,794,11.423566569466148,0.7135643347112111,0.887882195134155,0.4215781531359355,55.647090087695986,0.9574978041687331,14.519255062559377,9.585509431197536,12.17157174227017,18.17326804955066,0.12569700434668096,8.104734499659472,17.490987863460262,-3.644194079887131,25.761454863467925,18.279651231642035,19.081671295536395,-21.20375936088539,21.43857067139283,19.245153543242168,16.407622325615854
Neutral (Fixed),388.8178756571329,11.175826917399178,-22.73433359438295,556,10.810553292099295,0.7595819874595795,0.9294190181254154,0.4915836600620846,56.577199043316504,0.931897044391244,0.3328619630862173,8.426467566772654,14.10518691158915,8.185515355589557,2.267176336993537,5.274447585184938,19.13683833920805,-0.9537893602876935,22.722233938984072,20.716295936577378,20.92281068504178,-16.47555987132754,28.293568637814005,23.904803936067708,20.461121738518926
