Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2015 (%),2016 (%),2017 (%),2018 (%),2019 (%),2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,542.2353471594337,18.46044037924528,-16.234742754976484,422,9.138358821129172,1.5774607254464152,2.134531923595035,1.1370947268989862,57.71324863883848,1.0307128402849586,11.97980491003554,11.840000313702825,23.506296062749186,11.912426005185628,26.316103805696358,15.542268034303452,22.397297040671084,-9.093621638447068,35.28426273219123,30.095357122799005,29.812065603966232
SPY (Benchmark),301.4488324034834,13.49716977383526,-33.7172493956131,708,17.80935959405687,0.6340849419726003,0.7716900422125075,0.4003045923310505,54.961832061068705,0.9570506972747224,1.2884890830850537,11.997913070078582,21.70539530588458,-4.568996950088911,31.223851779738876,18.33163176564574,28.728752195093875,-18.175373196425294,26.175824099195232,24.8864513950652,18.2214150381387
IWY (Benchmark),515.5174501114825,18.002816199108462,-32.68442199709987,715,20.54129087650684,0.7654205642594044,0.9610903178563324,0.5508072377937684,56.78336980306346,0.901925972436262,8.043623801278365,6.833689257497655,31.69008434107605,-0.7206791105696331,36.19869177437081,39.00866819131057,31.053763811962874,-29.91465409529932,46.49272992334033,34.89138972626553,18.69414296587535
60/40 (Balanced),177.74544875725118,9.751903991765465,-26.378856339929424,800,12.27164597104927,0.5776472072813954,0.7253851657161753,0.36968638314330937,55.16866158868336,0.9472209650268326,-0.3746855338242705,7.775822968431689,17.12096879632581,-3.559813545758783,25.268313855929513,18.274740578349235,18.16886816042478,-21.51590296718219,20.929543315143672,18.612637207359263,16.19350383138527
Neutral (Fixed),264.4272882787889,12.501281131345475,-22.734329420642652,556,11.689657392643172,0.81294750842292,0.9898475171774072,0.5498856333098779,56.90968443960826,0.9251543895765398,2.388951157653163,5.274438592253317,19.136853293660106,-0.9537843656243106,22.722226071804073,20.716288199638953,20.92281764896522,-16.47556034469153,28.293560368375715,23.904813679066493,20.461117050320297
