Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,190.799669556837,19.559610581360374,-16.2347394971472,422,10.314835188883995,1.4974611716568245,2.0522466529807044,1.204799780421326,57.82811459027315,1.0053428015712877,14.39410632196152,22.39729930805776,-9.093614268015848,35.28424265381058,30.095333604140407,29.812076916277274
SPY (Benchmark),130.04113070642038,14.960792811194178,-33.717259238647216,708,20.778272089176525,0.6326242258091901,0.7774171602377427,0.44371319463730013,55.3035356904603,0.938624622441884,17.235255482855514,28.728772195338024,-18.17536516919188,26.17579484884025,24.88645961170237,18.2214150381387
IWY (Benchmark),195.3984564524077,19.873972393186424,-32.68442353864539,715,24.316352875977334,0.7459445952582013,0.9732608176350183,0.6080563840964748,56.54205607476636,0.899384864449073,37.12038207750021,31.053732832523284,-29.914658604656864,46.49275221701225,34.891369092977854,18.694150695287437
60/40 (Balanced),68.29397602795304,9.102216973965715,-27.010712959152038,897,13.826215491289847,0.48388960560109656,0.6391574498010122,0.3369854393599637,54.16389073950699,0.9592294369207184,17.074282024735066,15.425102941117608,-22.483913306030423,19.32478178352197,16.58338707290852,15.490866594299813
Neutral (Fixed),131.43264822388247,15.076878608788945,-22.73433960146266,556,13.997271845513854,0.8618844566033299,1.074674318172263,0.663176449067337,56.562291805463026,0.9352541303916698,19.663838308191384,20.92280205643784,-16.475561818273377,28.29356747562104,23.90480407631197,20.461121859353604
