Strategy,Total Return (%),CAGR (%),Max Drawdown (%),Max DD Days,Volatility (%),Sharpe Ratio,Sortino Ratio,Calmar Ratio,Win Rate (Daily %),Profit/Loss Ratio,2020 (%),2021 (%),2022 (%),2023 (%),2024 (%),2025 (%)
Dynamic Strategy,120.22762923480461,17.135158974469753,-14.365037126271663,402,10.555671124428633,1.2718527533442505,1.7680400766886395,1.192837778548579,57.14285714285714,0.9913853609832473,0.7390899737011125,18.72077548879667,-8.060478663660053,27.171592346271712,23.13250835406,27.9033681823186
SPY (Benchmark),98.35459135345307,14.706070351326517,-24.496384895781354,708,17.120592479116926,0.7142518431652801,0.9797345358965517,0.6003363522369835,54.91606714628298,0.9623896971633262,1.7166867408691777,28.728763451249684,-18.175359611134635,26.17579484884025,24.886446453129786,17.48948279933127
IWY (Benchmark),118.36226937841774,16.93572534063086,-32.684407101574905,715,21.637777881332987,0.6948989018163905,0.9719549818659131,0.5181591725986918,55.36,0.9316467847287352,1.8371007876865741,31.053763811962853,-29.914663114014417,46.492761642495914,34.89137787716003,18.139343096532954
60/40 (Balanced),45.15297482734546,7.750297722834043,-26.99783582552445,890,13.460945545882666,0.4006166070161574,0.5637792099858518,0.2870710738786963,53.072625698324025,0.9864097640569714,1.3006364120359715,15.479736230849038,-22.46418940320275,19.357871314959716,16.62577622855581,14.963516681619193
Neutral (Fixed),95.4586400891765,14.368604346610692,-19.560529090864286,556,12.097256852267174,0.9260177999108659,1.2850219807184449,0.7345713543771946,55.70630486831604,0.9734841538004021,1.3444983077843142,20.922815594162735,-16.475565974127125,28.293570277196455,23.904809158134555,20.126783611917844
